iter	MultiClass
263	0.5289247208
264	0.5285851721
265	0.5281855761
266	0.5276643843
267	0.5270169894
268	0.5267046835
269	0.5262515666
270	0.5258832256
271	0.5252333688
272	0.5248684424
273	0.5243403196
274	0.5240716262
275	0.5237754296
276	0.5233451931
277	0.5230028594
278	0.5226564436
279	0.5222708771
280	0.5217781506
281	0.5214689519
282	0.5211347902
283	0.5207562633
284	0.520114265
285	0.519659254
286	0.5191170592
287	0.5187751617
288	0.51847915
289	0.5180196311
290	0.5176834972
291	0.51725298
292	0.5166787982
293	0.5162319042
294	0.5158040925
295	0.5154840891
296	0.5151285101
297	0.5147310752
298	0.5143435152
299	0.5140577433
300	0.5137116668
301	0.5133793294
302	0.513034882
303	0.5126481921
304	0.5123406545
305	0.5120565563
306	0.5115445516
307	0.5112410146
308	0.5108897738
309	0.5105153216
310	0.5102226859
311	0.5099744435
312	0.5096698816
313	0.5094277588
314	0.5091693396
315	0.5088390153
316	0.5082776785
317	0.5079865343
318	0.5077295969
319	0.5073880596
320	0.5070116322
321	0.5066708389
322	0.5063562832
323	0.5060701129
324	0.5057923524
325	0.5054882004
326	0.5050746689
327	0.5048142317
328	0.5044320229
329	0.5040717309
330	0.5035863092
331	0.5031522528
332	0.5028334956
333	0.502560227
334	0.5023750793
335	0.5020999141
336	0.5018287605
337	0.5014206957
338	0.5012000569
339	0.5009928592
340	0.5007507815
341	0.5003953854
342	0.5001736649
343	0.4997261846
344	0.4992694396
345	0.4990264006
346	0.4987556556
347	0.4984875701
348	0.4982083895
349	0.4980196136
350	0.4978245759
351	0.4975090489
352	0.4972111134
353	0.4969349884
354	0.4964129233
355	0.4962182911
356	0.4959527065
357	0.4956461946
358	0.4953683668
359	0.4950621705
360	0.4946447415
361	0.4944419301
362	0.4941092404
363	0.4937816913
364	0.4935308963
365	0.4933012857
366	0.493057738
367	0.4927119841
368	0.492511276
369	0.4923474079
370	0.4920842404
371	0.4917539158
372	0.4915426637
373	0.4913298318
374	0.4911065695
375	0.4909494744
376	0.4907289452
377	0.4904206389
378	0.4901962218
379	0.4898787719
380	0.489512756
381	0.4892740366
382	0.4890490795
383	0.4887521332
384	0.4884226298
385	0.4881756926
386	0.4879761128
387	0.487723496
388	0.487498199
389	0.4871433096
390	0.48693109
391	0.4867848058
392	0.4865863804
393	0.4863107126
394	0.4861132403
395	0.4858866338
396	0.4856182341
397	0.4853770509
398	0.4851555951
399	0.4847410949
400	0.484488836
401	0.4843734675
402	0.4842067432
403	0.4839869085
404	0.4837909685
405	0.4836079516
406	0.4834476345
407	0.4833004399
408	0.4831370128
409	0.4829114215
410	0.4825366902
411	0.4822905537
412	0.4821387027
413	0.4818193342
414	0.4816276749
415	0.4812721554
416	0.4809506193
417	0.4807804103
418	0.4805660618
419	0.4803404797
420	0.4801757317
421	0.4800386988
422	0.4798752336
423	0.4796596717
424	0.4794294093
425	0.479217937
426	0.4790408608
427	0.4788202528
428	0.4784910951
429	0.4783490525
430	0.4780964634
431	0.4779125581
432	0.4776164881
433	0.4774909708
434	0.4772217314
435	0.4770172441
436	0.476823682
437	0.4766244579
438	0.4765077105
439	0.4764211034
440	0.4762350709
441	0.4759988889
442	0.4758526902
443	0.4756078665
444	0.4752770476
445	0.4751624237
446	0.4749997007
447	0.4748374602
448	0.4746193156
449	0.4743397942
450	0.4741541542
451	0.4740316927
452	0.4738146186
453	0.4736940485
454	0.4735527086
455	0.4734237909
456	0.4732882455
457	0.4731268298
458	0.4726593305
459	0.4724512474
460	0.4723438082
461	0.4719946199
462	0.4718261908
463	0.4717055948
464	0.4715687855
465	0.4713838167
466	0.4712527254
467	0.4710448887
468	0.4707843755
469	0.470641233
470	0.4703871062
471	0.4702675118
472	0.4700849146
473	0.4697877151
474	0.4695466047
475	0.4694241924
476	0.4692226044
477	0.468892789
478	0.4686756646
479	0.4684806521
480	0.4683011977
481	0.4681384146
482	0.4679355409
483	0.4677698834
484	0.4676321516
485	0.4675045694
486	0.4673875989
487	0.4672378101
488	0.4671297139
489	0.4669583122
490	0.466812974
491	0.4666828458
492	0.4664827508
493	0.4662545477
494	0.4661334079
495	0.4659551748
496	0.4658544829
497	0.4657148976
498	0.4655213379
499	0.4653736145
500	0.4652260102
501	0.4650854659
502	0.4649898801
503	0.4648801009
504	0.4647744121
505	0.4646363739
506	0.4645273313
507	0.464400829
508	0.4642744125
509	0.4641402212
510	0.4639784041
511	0.4638756702
512	0.4637091516
513	0.4633953414
514	0.4632458372
515	0.4631354715
516	0.4628577944
517	0.4627729987
518	0.4626712234
519	0.4624493155
520	0.4623255055
521	0.4622528112
522	0.4621141291
523	0.4619743204
524	0.4618478665
525	0.4617223976
526	0.4615644447
527	0.4614690895
528	0.46134593
529	0.4611297456
530	0.4610187619
531	0.4608985398
532	0.4608046412
533	0.4607042512
534	0.4605052
535	0.4602748556
536	0.4601531142
537	0.4599743999
538	0.4598469107
539	0.4595950219
540	0.4594659229
541	0.4593531798
542	0.459231456
543	0.4590924034
544	0.4588981797
545	0.4588341834
546	0.4587260232
547	0.4586241219
548	0.4585294641
549	0.458275043
550	0.4581796159
551	0.4580872101
552	0.4580233584
553	0.4579476481
554	0.4578868631
555	0.4577870232
556	0.4576844397
557	0.4575930695
558	0.4574969004
559	0.4572933449
560	0.4571112946
561	0.4569239197
562	0.4568329043
563	0.4567183954
564	0.4566295864
565	0.4565238675
566	0.4563022693
567	0.456229732
568	0.4560365541
569	0.4559137385
570	0.455809142
571	0.4556840181
572	0.4555834746
573	0.455534343
574	0.4554507769
575	0.4553889928
576	0.4552870176
577	0.4551253297
578	0.4550132875
579	0.454874621
580	0.4548283038
581	0.4547719015
582	0.4546777841
583	0.4545945347
584	0.4544541889
585	0.4543688295
586	0.4542559308
587	0.454117404
588	0.4540420994
589	0.4539685805
590	0.4538619503
591	0.4537855253
592	0.4536899816
593	0.4536139855
594	0.4534760666
595	0.4533680375
596	0.4532676912
597	0.4531643815
598	0.4530606055
599	0.4528926281
600	0.4528405871
601	0.4526194533
602	0.4525276189
603	0.4524492558
604	0.4523970947
605	0.4523330994
606	0.4522351173
607	0.4520594655
608	0.4520074701
609	0.4519329685
610	0.4518375516
611	0.4517795391
612	0.451694034
613	0.4516055483
614	0.4515099399
615	0.4514480797
616	0.4513154957
617	0.4512141423
618	0.4509830619
619	0.4508975473
620	0.4508320646
621	0.4507762051
622	0.4506034083
623	0.4505434343
624	0.4504044412
625	0.4501651643
626	0.4500967241
627	0.4499664266
628	0.4498973933
629	0.4498061769
630	0.449723891
631	0.4496430817
632	0.4495588465
633	0.4494443526
634	0.4493935917
635	0.4493097492
636	0.4492432338
637	0.4491009551
638	0.4490294815
639	0.4489637506
640	0.4489057352
641	0.4488503632
642	0.4487610611
643	0.4486830302
644	0.4485120826
645	0.4484146687
646	0.4483568503
647	0.4482876263
648	0.4481857203
649	0.4480156426
650	0.4479662428
651	0.4478796503
652	0.4477965526
653	0.4477184466
654	0.4475889672
655	0.4474540796
656	0.4473603476
657	0.4473051603
658	0.4471854989
659	0.4470886197
660	0.4469522673
661	0.4468749445
662	0.4468215345
663	0.4467244027
664	0.4466547652
665	0.4465796221
666	0.4463733712
667	0.44617283
668	0.4460604355
669	0.4459945742
670	0.4458936293
671	0.4456168306
672	0.445578436
673	0.4455437849
674	0.4454611446
675	0.4453907066
676	0.4453052641
677	0.4452311566
678	0.4450547005
679	0.4449732663
680	0.444874147
681	0.4447934883
682	0.4446826489
683	0.4445586887
684	0.4444568646
685	0.4444038953
686	0.4443350193
687	0.4441492331
688	0.4439748163
689	0.4439229646
690	0.4438904951
691	0.4437264978
692	0.4436133692
693	0.4435163705
694	0.4434807079
695	0.4434134532
696	0.4433312037
697	0.4432462521
698	0.4431984042
699	0.4430292772
700	0.4429371765
701	0.4428672829
702	0.4428046408
703	0.4427633055
704	0.4427033057
705	0.4426428707
706	0.4425720122
707	0.4424218823
708	0.4423493413
709	0.442289711
710	0.4421936764
711	0.4421141293
712	0.4420387493
713	0.4419852003
714	0.4419538343
715	0.4418870981
716	0.4418324626
717	0.4417542294
718	0.441626528
719	0.4414473363
720	0.4413241517
721	0.4412269399
722	0.4411591804
723	0.4410795719
724	0.4410312654
725	0.4409270662
726	0.4408746679
727	0.4407852853
728	0.440718848
729	0.4406798286
730	0.4406005437
731	0.4405331158
732	0.4404753462
733	0.4402712855
734	0.4402302072
735	0.4401473767
736	0.4400952323
737	0.4400575487
738	0.4400124424
739	0.439978912
740	0.4399381359
741	0.4398777572
742	0.4398211488
743	0.4397702303
744	0.4395803234
745	0.439547479
746	0.4394799759
747	0.4393549622
748	0.4393105887
749	0.4392633174
750	0.4392123373
751	0.4391246321
752	0.4390538276
753	0.4390258221
754	0.4389632157
755	0.4389219835
756	0.4388224911
757	0.4387309479
758	0.4386416318
759	0.4385509686
760	0.4384948261
761	0.4384390024
762	0.438361998
763	0.4383155955
764	0.4382316333
765	0.4381427592
766	0.4380959751
767	0.4380591215
768	0.4379958117
769	0.4379635183
770	0.4378978961
771	0.437863362
772	0.4378212261
773	0.4377753427
774	0.4376357018
775	0.4375550865
776	0.437507267
777	0.4373840009
778	0.4373152853
779	0.4372927437
780	0.4371825377
781	0.4370791397
782	0.437038439
783	0.4369856968
784	0.4369383342
785	0.4368150636
786	0.4367407331
787	0.4367040144
788	0.4366628354
789	0.4366313316
790	0.4365542287
791	0.436431052
792	0.4363866722
793	0.4363321968
794	0.4361891698
795	0.436151558
796	0.4360646968
797	0.4360088112
798	0.4359311748
799	0.4358758232
800	0.4357995806
801	0.4357691052
802	0.4357236015
803	0.4356566965
804	0.4356026273
805	0.4354859883
806	0.4354466499
807	0.4353937234
808	0.4353644755
809	0.4353223917
810	0.4352241728
811	0.435168892
812	0.4350933718
813	0.4350435945
814	0.4349868136
815	0.4348364075
816	0.4347972268
817	0.4347305643
818	0.4346905973
819	0.434613588
820	0.4345050522
821	0.4344561831
822	0.4343819418
823	0.4342624448
824	0.434215982
825	0.4341873166
826	0.4341595954
827	0.4341182073
828	0.4340373985
829	0.4339490885
830	0.4339017125
831	0.4338676673
832	0.4338334989
833	0.4336739708
834	0.433625929
835	0.4335633055
836	0.4335141216
837	0.4334667268
838	0.4334410577
839	0.4333979846
840	0.4333608523
841	0.4333073219
842	0.4331980645
843	0.4331270947
844	0.4330694363
845	0.4330328753
846	0.4330037321
847	0.4329540303
848	0.4328670322
849	0.4327259041
850	0.4326875277
851	0.4326315885
852	0.4326045592
853	0.4325238586
854	0.4324768625
855	0.4323504005
856	0.4323073784
857	0.4322439887
858	0.432134435
859	0.4320772459
860	0.4320251261
861	0.4319238769
862	0.4318839434
863	0.4318323772
864	0.4317873669
865	0.4317588618
866	0.431711368
867	0.431613073
868	0.4315161097
869	0.4314184758
870	0.4313246312
871	0.4312230864
872	0.4311470095
873	0.4310876796
874	0.4310628465
875	0.4309764452
876	0.430935862
877	0.4308986194
878	0.4308506067
879	0.4308021482
880	0.4307159175
881	0.4306438339
882	0.4306014588
883	0.4305481243
884	0.4304922309
885	0.4304516846
886	0.430413298
887	0.4303656328
888	0.430320722
889	0.430292624
890	0.4302234593
891	0.4301928435
892	0.4301356595
893	0.4301033134
894	0.4299860044
895	0.4298648947
896	0.4298351973
897	0.4297920198
898	0.4297319238
899	0.4296405532
900	0.4296107242
901	0.4295739598
902	0.4295416451
903	0.4294889785
904	0.4294518396
905	0.4294156633
906	0.429382684
907	0.4293297106
908	0.4292670454
909	0.4292327625
910	0.4291771327
911	0.4290941358
912	0.4290242607
913	0.4289998697
914	0.4288998164
915	0.4287650661
916	0.4287348353
917	0.4287012835
918	0.4286688259
919	0.4286379182
920	0.4285621047
921	0.4285287272
922	0.4285025805
923	0.4284629548
924	0.4284279453
925	0.4283999641
926	0.4283386253
927	0.428277016
928	0.4281992684
929	0.4281662155
930	0.4281214496
931	0.4280986293
932	0.4280576443
933	0.4280114504
934	0.4279666115
935	0.427883382
936	0.427855755
937	0.4277201418
938	0.4276945446
939	0.4276763848
940	0.427636382
941	0.4276153474
942	0.4274774231
943	0.4274285962
944	0.4273816863
945	0.4273328686
946	0.427289151
947	0.4272596028
948	0.4272195673
949	0.4271812773
950	0.4271488048
951	0.4271190563
952	0.4270514191
953	0.4270190336
954	0.4269889757
955	0.4268722897
956	0.4268222272
957	0.4267803615
958	0.4267398508
959	0.4267060204
960	0.4266881505
961	0.4266541515
962	0.4266208027
963	0.4265927862
964	0.4265586199
965	0.4265198923
966	0.4264890239
967	0.4264088835
968	0.4263055948
969	0.4261984566
970	0.4261199966
971	0.4260809172
972	0.4260379491
973	0.4260036448
974	0.4259748057
975	0.4259337469
976	0.4258965956
977	0.425869135
978	0.4257828429
979	0.4257494105
980	0.4257084052
981	0.4256667782
982	0.4256326287
983	0.4256061332
984	0.4255721056
985	0.425496763
986	0.4254496339
987	0.4254006968
988	0.4253675407
989	0.4253288487
990	0.4252796736
991	0.4252394474
992	0.4252025565
993	0.4250487759
994	0.4249956772
995	0.4248966212
996	0.4248654646
997	0.4248341642
998	0.424792386
999	0.4247587743
